"timestamp","organization_id","converted","funnel_step","activity_name","trial_start","trial_start_week"
"2024-01-01 19:04:31","12ed7b7e84363bcfb31778d69276693b","1","6","Converted","2024-01-01 19:04:31","2023-12-31"
"2024-01-01 22:58:44","24c0d01774dbf0a77e6d094065418f34","0","1","Scheduling.Shift.Created","2024-01-01 22:54:32","2023-12-31"
"2024-01-01 22:58:44","24c0d01774dbf0a77e6d094065418f34","0","0","First.Action","2024-01-01 22:54:32","2023-12-31"
"2024-01-02 04:42:01","084cf2abea31616abcb483e2fc6bae22","0","1","Scheduling.Shift.Created","2024-01-02 04:39:05","2023-12-31"
"2024-01-02 04:42:01","084cf2abea31616abcb483e2fc6bae22","0","0","First.Action","2024-01-02 04:39:05","2023-12-31"
"2024-01-02 09:27:38","322575f5e0ba3cb91a1aba056424c7c9","0","1","Scheduling.Shift.Created","2024-01-02 09:01:57","2023-12-31"
"2024-01-02 09:27:38","322575f5e0ba3cb91a1aba056424c7c9","0","0","First.Action","2024-01-02 09:01:57","2023-12-31"
"2024-01-02 10:10:06","3c482b107ebcd79c4708efc6f494440e","1","6","Converted","2024-01-02 10:10:06","2023-12-31"
"2024-01-02 10:18:30","3c482b107ebcd79c4708efc6f494440e","1","1","Scheduling.Shift.Created","2024-01-02 10:10:06","2023-12-31"
"2024-01-02 10:18:30","3c482b107ebcd79c4708efc6f494440e","1","0","First.Action","2024-01-02 10:10:06","2023-12-31"
"2024-01-02 10:36:39","42a99d938566d4c2457f8adf4c892fc1","1","6","Converted","2024-01-02 10:36:39","2023-12-31"
"2024-01-02 10:45:02","42a99d938566d4c2457f8adf4c892fc1","1","1","Scheduling.Shift.Created","2024-01-02 10:36:39","2023-12-31"
"2024-01-02 10:45:02","42a99d938566d4c2457f8adf4c892fc1","1","0","First.Action","2024-01-02 10:36:39","2023-12-31"
"2024-01-02 11:20:22","4bad3acf74d4da3b7933425ff130832e","1","6","Converted","2024-01-02 11:20:22","2023-12-31"
"2024-01-02 13:00:31","4bad3acf74d4da3b7933425ff130832e","1","2","Mobile.Schedule.Loaded","2024-01-02 11:20:22","2023-12-31"
"2024-01-02 13:00:31","4bad3acf74d4da3b7933425ff130832e","1","0","First.Action","2024-01-02 11:20:22","2023-12-31"
"2024-01-02 15:49:14","284746c1d3d16056bd0ac1f13dc90416","1","6","Converted","2024-01-02 15:49:14","2023-12-31"
"2024-01-02 18:36:38","25b1d2bb5f664d075b4ab3548e028876","1","6","Converted","2024-01-02 18:36:38","2023-12-31"
"2024-01-02 20:20:02","1a220a292104ae82c528dfac41a9cc29","1","6","Converted","2024-01-02 20:20:02","2023-12-31"
"2024-01-02 23:46:02","25982b524733df298926691ccbda5f7f","0","1","Scheduling.Shift.Created","2024-01-02 23:44:21","2023-12-31"
"2024-01-02 23:46:02","25982b524733df298926691ccbda5f7f","0","0","First.Action","2024-01-02 23:44:21","2023-12-31"
"2024-01-03 13:50:58","4bf4cc2916d76d5032dfd74224982060","0","1","Scheduling.Shift.Created","2024-01-03 12:32:44","2023-12-31"
"2024-01-03 13:50:58","4bf4cc2916d76d5032dfd74224982060","0","0","First.Action","2024-01-03 12:32:44","2023-12-31"
"2024-01-03 15:14:40","2d9f8ffed221bb962c28baccf571f955","0","0","First.Action","2024-01-03 15:10:42","2023-12-31"
"2024-01-03 15:29:46","0c8b2b22cad0d69afd36b11b3b530836","0","3","Scheduling.Shift.Approved","2024-01-03 11:39:36","2023-12-31"
"2024-01-03 15:29:46","0c8b2b22cad0d69afd36b11b3b530836","0","0","First.Action","2024-01-03 11:39:36","2023-12-31"
"2024-01-03 16:23:58","1580a0b6393fd7aafadfac175313e289","1","6","Converted","2024-01-03 16:23:58","2023-12-31"
"2024-01-03 16:26:29","1580a0b6393fd7aafadfac175313e289","1","1","Scheduling.Shift.Created","2024-01-03 16:23:58","2023-12-31"
"2024-01-03 16:26:29","1580a0b6393fd7aafadfac175313e289","1","0","First.Action","2024-01-03 16:23:58","2023-12-31"
"2024-01-03 16:53:17","25b1d2bb5f664d075b4ab3548e028876","1","4","Scheduling.Shift.AssignmentChanged","2024-01-02 18:36:38","2023-12-31"
"2024-01-03 16:53:17","25b1d2bb5f664d075b4ab3548e028876","1","0","First.Action","2024-01-02 18:36:38","2023-12-31"
"2024-01-03 16:54:48","20dc5d35f753b640a1113aecbd892ac8","1","6","Converted","2024-01-03 16:54:48","2023-12-31"
"2024-01-03 16:59:49","20dc5d35f753b640a1113aecbd892ac8","1","1","Scheduling.Shift.Created","2024-01-03 16:54:48","2023-12-31"
"2024-01-03 16:59:49","20dc5d35f753b640a1113aecbd892ac8","1","0","First.Action","2024-01-03 16:54:48","2023-12-31"
"2024-01-04 14:32:16","13525c006ccf2884038e21de65d36c0b","0","1","Scheduling.Shift.Created","2024-01-04 13:41:03","2023-12-31"
"2024-01-04 14:32:16","13525c006ccf2884038e21de65d36c0b","0","0","First.Action","2024-01-04 13:41:03","2023-12-31"
"2024-01-04 16:33:00","4b2afe7389af055f6c6076ccc6a06459","0","0","First.Action","2024-01-04 16:28:35","2023-12-31"
"2024-01-04 16:52:01","4021dbe5338de710ab82439bc41bdc5f","0","1","Scheduling.Shift.Created","2024-01-04 16:50:13","2023-12-31"
"2024-01-04 16:52:01","4021dbe5338de710ab82439bc41bdc5f","0","0","First.Action","2024-01-04 16:50:13","2023-12-31"
"2024-01-04 17:20:24","496471048946ccac944afcef5feaadb1","0","2","Mobile.Schedule.Loaded","2024-01-03 17:25:53","2023-12-31"
"2024-01-04 17:20:24","496471048946ccac944afcef5feaadb1","0","0","First.Action","2024-01-03 17:25:53","2023-12-31"
"2024-01-04 19:20:43","12d70131a26c2fd4022aea91db5aaa66","0","1","Scheduling.Shift.Created","2024-01-04 19:10:58","2023-12-31"
"2024-01-04 19:20:43","12d70131a26c2fd4022aea91db5aaa66","0","0","First.Action","2024-01-04 19:10:58","2023-12-31"
